sku,item_name,price
BGLOSYWH-302,WHITEN GLOSSY 43 LB (WH-302),86.0
BGUAV-HG-211,FRUITFUL GUAVA 40 LB,178.57
BHAR-H-PI-313,YELLOW BAKERS PLUS 50 LB 139283(HPI313),136.0
BHOJALPAN-SI-202,HOJALPAN BARRA 6X 5.5 LB,67.09
BGUAVA-AHR,GUAVA PULP DON TITO 55 LB,103.6
BHAR-H-AB-101,AMERICAN BEAUTY 50 LB,37.0
BHAR-H-PI-321,DEVILS BAKERS PLUS 50 LB(PI321),134.3
BHONNE-HO-101,HONEE GLAZE 22 LBS PL,57.52
BGUAV-GP-205,GUAVA PULP (DOMINICANA) 40 LB,53.12
BHAR-H-BO-401,BOUNCER FLOUR 50 LB(BO401),28.2
BHAR-RED-PI134393,RED VELVET BAKER'S PLUS 50 LBS,136.25
BHORN-IN-20918,LARGE CREAM HORNS 108X4.75,121.56
BICIN-RI-101,READY ICING PAIL 40LB,127.3
BINST-IC-204,IINSTANT CLEARJEL 50 LB,135.2
BMM-LF163301,LAWRENCE MARSHMALLOW POWDER 25LBS,407.5
BMUFF-BX-10200519,CHOC CHIP MUFFINS THAW AND SELL 4CT/4OZ,54.5
BIMP-IM-101,IMPROVE 200 45LB,168.25
BINST-IN-204,INSTANT CLEARJEL 8 LBS,39.0
BMM-MM-205,MEDINA MARSHMALLOW 25 LB,340.09
BNUTEX-NU-204,NUTEX 38 LB,98.0
BINST--IC-201,INSTANT CLEARJEL 25 LB,77.0
BLARD-B-80350,LARD (BUTCHER BOY) 50 LB,79.85
BMUFF-BX-10200514,BLUBERRY MUFFIN THAW AND SELL 4CT/4OZ,55.9
BOREO-89357,OREO COOKIE MEDIUM CRUMBS 25 LB,165.0
BOREO-OR-501,OREO COOKIE BASE CRUMBS 35 LB,259.74
BPUF-PU-401,PUF-N-PIE(BROKAY) 40 LB(PU401),155.71
BPUF-PX-5512,PUFF PASTRY SLABS 2X15LB(PX-5512),95.33
BREDI-HG-212,REDI-PACK GUAVA FILLG 12X2LB (HH)(HG212),97.86
BPAST-GU-202,GUM PASTE 5 LB PL,29.76
BPUF-PX-5123,PUFF PASTRY SHEETS 20X12OZ(PX5123),89.44
BRAISIN-102,RAISINS SELECT CALIFORNIA 30 LBS,71.8
BREDI-NU-644783,REDI-PACK NUTELLA 6X2.2LBS,96.1
BPINEA-PC-202,PINEAPPLE CRUSH 6/#10,90.95
BPUF-PX-5125,PUFF PASTRY SQUARES 120X2OZ(PX5125),77.52
BREDIGLA-HF-215,NEUTRAL FRUIT GLAZE 12X12 LBS,72.63
BREDI-RP-201,REDI-PACK STRAWBERRY 12/2LB (RP-201),83.26
BREDI-RP-301,REDI-PAK PINEAPPLE12X2LB(HH)(RP-301),105.46
BREDI-RP-902,REDI-PACK LEMON 12X2LB,56.0
BSHORT-GL-102,ALL PURPOSE SHORTENING *** MARINA *** 50 LB,81.29
BSURFAXMEDINA-GP-202,SURFAX(CAKE-EM) 35 LB,222.5
BREDI-RP-401,REDI-PAK BAVARIA CREME 12X2LB(RP-401),52.86
BREDI-RP-903,REDI-PACK CHOCOLATE/BAV 12/12LB (RP-903),74.98
BSPRASHORT-SP-101,SPRASHORT (PAN-G) 17LB PAIL,56.9
BSWEET-101,SWEETEX GOLDEN FLEX CAKE AND ICING 50 LB,168.0
BREDI-RP-701,REDI-PAK CREM CHEESE 12/2LB (RP-701),95.72
BRINGDONUT,RING DONUT JUMBO (YEAST RAISED)48/3.0 OZ,51.29
BSUGY-SU-202,SUGAR YOLK 1/2 GAL(SU202),52.0
BSYRUP-CS-901,CARAMEL SYRUP 44OZ,9.5
BTART-TS-101,TARTSHELLS 3' 72CT,47.28
BTUTI-TF-101,TUTI FRUTTI 10 LBS,29.0
BWIP-WI-202A,WHIP'N ICE CHOCOLATE 8.8 LBS,25.0
BWIP-WI-205,WHIP'N ICE NATA 4X8.8 LB CS,116.64
BTOPIN,TOPPING WHPD NONDARY BAG FRZ 12/16OZ,62.0
BVAINFLUFFYVL-101,VANILLA LIGHT N FLUFFY 35 LB,144.21
BWIP-WI-203,WHIP'N ICE VANILLA 4X8.8#,129.31
BWIP-WI-206,WHIPN ICE DULCE DE LECHE 4/8.8 LB,83.0
BTOPIN1,TOPPING STRABERRY SCE LIQ 12/19.25 OX,44.0
BWIP-WI-202,WHIP N ICE CHOC 4X8.8# C,133.54
BWIP-WI-204,WIP'N ICE STRABERRY 4X808# CS,77.5
BWIP-WI-206A,WHIP'N ICE DULCE DE LECHE 8.8 LBS,29.0
BWIP-WI-210,HERSHEY PREWHIP 16 LB PAL,52.0
BYEAST-IY-101,SAF INSTANT YEAST RED 20/1 LBS CS,130.0
BYEAST-PI-30548,ELITE YEAST RAISED DONUT 50LB GM#130548,51.5
CCBREASTRETAIL,CHICKEN BREAST BNLS SKLS *** TRI PACK ** RETAIL,2.6
BWIP-WI-215,WHIP N ICE VANILLA 12/2LB,75.4
BYEAST-IY-102,SAF GOLD INSTANT YEAST 20/1 LB,133.98
CCBRDFLOCK,CHICKEN BRST 6 OZ BRDD COOK FROZEN 9 LB,90.76
CCBREASTRETALFRESH,CHICKEN BREAST BONELESS SKINLESS 4 / 10 LBS {{{{ FRESH }}}},136.97
BWIP-WT-201,WHIP & TOP 12X2LBS,82.2
BYEASTMASTERPAN,SOMAPAN INSTANT DRY YEAST 20/450g,71.46
CCBREASTFREEBIRD,CHICKEN BREAST BONELESS SKINLESS 4 / 10 LBS *** FROZEN *** (AMICK),93.4
CCCHICMEAT,CHIC MEAT DICE 1/2 WHT FRZ (TIP TOP),4.16
CCDRUMMED,CHICKEN DRUM JUMBO 4/10LB (HOUSE OF REAFORD),37.95
CCHEN,CHICKEN HEN STEWING (GALLINA FLACA),2.6
CCLEGQUATRER4,CHICKEN LEG QUARTER 4 /10LB <<< CLAXTON >>> (FRESH),40.66
CCNUGGETS1,CHICKEN NUGGETS __ MJ__ 2 / 10LBS,49.0
CCFEET1,CHICKEN FEET JUMBO 44 LBS (PAWS),62.67
CCHEN1,CHICKEN BAKING HENS // TIP TOP \\ 6 / 1HD,1.27
CCMOLLEJA,CHICKEN GIZZARDS { M / J } 4 / 10 LB (FOOD SERVICE),77.62
CCPIECES8,CHICKEN 8 PIECES 16HD ** 8 WAY **,1.36
CCFEET2,CHICKEN FEET RETAIL TRAY PACK <<< FIELDALE >>> (00976) ~18 LBS,2.95
CCLEGQUATRE2,CHICKEN LEG QUARTER JUMBO 1/40LB BULK (OK FOODS),33.23
CCNECKS,CHICKEN NECKS 20LBS,25.26
CCTENDERLOIN1,CHICKEN TENDERLOIN BREADED __KOCH__ 2 / 5 LBS,27.62
CCTENDERLOIN2,CHICKEN TENDERS CLIPPED ** MOUNTAIRE ** (HALAL) 4 / 10 LBS,39.5
CCWHOLE3,CHICKEN WHOLE LEMON PEPPER TYSON 10/1 PC (FROZEN),0.58
CCWINGSWHOLE,CHICKEN WHOLE WINGS 4 / 10 LBS (REAFORD) FROZEN,66.24
DBACON3560067,BACON PORK 6-8 CT SLCD LAID 2/10 LB,178.52
CCTHIGHS1,CHICKEN THIGHS BONELESS SKINLESS ( BEST DRESSED ) 4 / 10LBS,75.36
CCWINGS1,CHICKEN WING PARTY JUMBO 4 / 10 LB { WEST CREEK } FROZEN,38.27
DBAC23328,BACON PRE-COOKED 3#,71.27
DBACONHATFIELD,BACON HATFIELD BUFFET 15LBS,52.0
CCWHOLE1.5,CHICKEN WHOLE 3 - 3.5 FRESH B/S (PILGRIMS) 12HD (FROZEN),1.5
CCWINGSIQF,CHICKEN WINGS PARTY IQF 4 / 10LBS *** BRAND: SMOKEY ***,80.3
DBACON1,BACON PLATTER //// 14-18 \\\\ INDIANA 30LBS,118.74
DCANTIMPALO2006,QUIJOTE CANTIMPALO 12/16OZ (2006),130.88
DCANTINPALO,CANTIMPALO CHORIZO CITERIO 1/4,8.98
DCHORIZO,MOLGOL GOLDEN BOAR CHORIZO MOLIDO 1/10 LB,44.9
DCHORIZO1004,QUIJOTE CASERO 4 PACK 30/ 5.5 OZ (1004),145.89
DCHORIZO331182,PALACIO MILD 14/7.9OZ (273208),129.6
DCHORIZO,CHORIZO TIGRE 10 LB,45.42
DCHORIZO1001,QUIJOTE GROUND CHORIZO 9.5OZ 12UNITS(1001),100.85
DCHORIZO1009,QUIJOTE SARTA 14/8OZ (1009),102.42
DCHORIZO331184,PALACIO HOT 14/7.9OZ (280208),129.5
DCHORIZO,M15440 LA ABUELITA CHORIZO 10 LB,67.08
DCHORIZO1002,QUIJOTE CASERO 2 PACK 60/ 3 OZ (1002),145.89
DCHORIZO331180,PALACIO 4 PACK 16/6.5 OZ (257205),99.5
DCHORIZOARGENTINO,MR TANGO CHORIZO ARGENTINO 12 / 16 OZ,60.86
DCHORIZOCACIATH,CACCIATORE HOT SALAMI 25/7OZ STABILE,97.0
DCHORIZOFSM,CHORIZO MILD FULL PIECE REDONDO IGLESIA 1/2UNIT,11.75
DCHORIZOGK62753,GOIKOA CHORIZO 15 / 7 OZ (8-50049-01008-5),105.0
DCHORIZOGK62879,GOIKOA SLICED CHORIZO 14 / 3 OZ (8-50049-01006-1),70.0
DCHORIZOCACIATM,CACCIATORE MILD SALAMI 25/7OZ STABILE,98.0
DCHORIZOGK62751,GOIKOA SARTA MILD 15 / 7.4 OZ (8-50049-01001-6),110.0
DCHORIZOGK62754,GOIKOA CHISTORRA 15 / 5.6 OZ (8-50049-01009-2),86.0
DCHORIZOGK62959,GOIKOA SALAMI BITES 13 / 3 OZ (8-50049-01010-8),65.0
DCHORIZOFSH,CHORIZO SPICY FULL PIECE REDONDO IGLESIA 1/2UNIT,11.75
DCHORIZOGK62752,GOIKOA SARTA HOT 15 / 7.4 OZ (8-50049-01002-3),110.0
DCHORIZOGK62877,GOIKOA CHORIZO BITES 13 / 3 OZ (8-50049-01009-2),65.0
DCHORIZOGK62994,GOIKOA SLICED HAM 14 / 3 OZ (8-50049-01011-5),85.0
DCHORIZOGK63053,GOIKOA CANTIMPALO 4 / 3.25 LB (8-50049-01015-3),110.0
DCHORIZORH,CHORIZO SPICY SLICED REDONDO IGLESIA 12/3OZ,55.0
DDMANTECA0001,MINI MANTECA DE PORK DON NOVO 11/1.5LB,55.0
DDON10010,JAMON VICKY DON NOVO 1/25LB,4.3
DCHORIZOORMEX1LB,ORNA CHORIZO MEXICANO 10/1LB,58.0
DCHORIZORM,CHORIZO MILD SLICED REDONDO IGLESIA 12/3OZ,55.0
DDMANTECA0003,MANTECA DON NOVO 35 LB,78.65
DDON10014,MORTADELLA SMALL DON NOVO 1/25,4.3
DCHORIZOORNATOS,ORNA CHORIZO TOSCANA (BRAZILIAN STYLE) 10 LBS,55.0
DDEMPELLA,EMPELLA 1/36,205.5
DDON10004,COOKED HAM DON NOVO 1/3,2.75
DDON10016,MORTADELLA DELI DON NOVO 5/CS,4.45
DDON10018,LOMO DON NOVO 1/25LB,5.9
DDON633443,JAMONADA DON NOVO 1/25,4.3
DDONCHICHA800,CHICHARRONES DON NOVO (5LB),43.5
DDONTOCINO10037,TOCINO AHUMADO DON NOVO,6.35
DDON10021,COSTILLA DON NOVO 1/25,6.49
DDON72105,CHORIZO 2 LB DON NOVO 1/25,4.2
DDONPIERNA,JAMON PIERNA DON NOVO 2/C,4.3
DHUE1200305,EXTRA LARGE LOOSE WHITE EGGS/ HUEVOS 1/15 DOZENS,61.03
DDON10024,PORK PRENSADA ESPECIAL DON NOVO 5/CJ,4.9
DDONCHICHA101,CHICHARRONES DON NOVO (1/15 PAQUETE),68.6
DDONSERRANO10029,JAMON SERRANO DON NOVO 1/2 (MITAD),4.3
DHUE1200306,**** MEDIUM ***** LOOSE WHITE EGGS/ HUEVOS 1/15 DOZENS,22.61
DHUERETAIL,LARGE EGGS RETAIL 15 PCS / 1 DOZEN,44.93
DJCOR6063,MR RS CORN BEEF 2/CS,4.8
DJMOR112,MORRISON COOKED HAM 10 % (2/13LBS),85.72
DJMOR304,MORRISON SERRANO STOCKINETTE (2/C),4.68
DHUEVO-LARGE,LARGE LOOSE WHITE EGGS/ HUEVOS 1/15 DOZENS,17.57
DJLACON,LACON,2.83
DJMOR203,EL TORO IMPERIAL COOKED HAM (3/CS),96.13
DJMOR342,MORRISON BOLO HAM (2/C),3.93
DHUEVORETAILXL,X-TRA LARGE EGGS <<< RETAIL >>> 15 PCS / 1 DOZEN,23.25
DJMOR(153),MORRISON COOK HAN 35% (2/13LBS),77.99
DJMOR302,MORRISON SWEET SERRANO HAM (2/CJ),5.08
DJPAS6068,MR RS PASTRAMI 2/CS,6.75
DJROA6006,MR RS ROAST BEEF,5.59
DJTIGRECOOK,PLAIN COOKED HAM *** EL TIGRE *** 1/3,2.72
DJTIGRESW,EL TIGRE SWEET COOKED HAM (3/C),4.42
DLECHECASTELLUM1,CASTELLUM CONDENSED CREAMER 24/ 13.4 OZ,25.0
DJSERRANOBLOCK,JAMON SERRANO DELI LOAF 1/10LB,10.5
DJTIGREJV,EL TIGRE JAMON VIEJO (4/C),3.98
DLCOCONUTMILK,COCONUT MILK 24/14 OZ TAORO,31.15
DLECHECOND6409,SWEETENED CONDENSED MILK 50 LB,113.53
DJSERRANOSL,JAMON SERRANO SLICES REDONDO IGLESIA 12/3OZ,79.0
DJTIGRESR,EL TIGRE SERRANO HAM (4/C),3.98
DLECHECASTELLUM,CASTELLUN CONDENSED CREAM 55 LB,66.0
DLECHEEVAP5757,EVAPORATED MILK 6/#10,71.47
DLECHENEZKA,NEZKA SWEET CONDENSED CREAMER 24/13OZ,28.0
DMANT,BUTTER SOLID GRD AA SALTED 36/1LB,110.0
DMAR7512,UNSALTED BUTTER SOLID AA 36/1LB,154.58
DMARGRETAIL,MARGARINE SPREAD 40% ** COUNTRY PREMIUM ** 15 / 15OZ,36.0
DLECHENEZKA1,NEZKA EVAPORATED MILK 24/12OZ,26.52
DMAR5028,EUROPEAN STYLE BUTTER BLEND SOLIDS 36/1LB,80.38
DMARGARINA,"DRYLIQUID DRY, LIQUID MARGARINE 35 LB (GOLD' N FLAVOR)",50.05
DMARGRETAIL1,MARGARINE SPREAD 40 % ** DEW ** 6 / 45 OZ,32.0
DLECHE-NF-201,NON FAT DRY MILK HIGH HEAT 50LB(NF201),159.07
DMAR7011,25 KILLO SALTED BUTTER CUBE,5.06
DMARGARINA-SUPERCHEF,MARGARINE SOLID 30/1 LB (SUPER CHEF),46.73
DMARWESTCRK,MARGARINE SOLID 30/1LB (WEST CREEK),54.31
DMORCILLA-0301,MORCILLA FROZEN CONGUSTO 4/3LBS UPC 7-93584-30011-5,78.1
DQCHEDDAR1207,CHEDDAR CHEESE (YELLOW MILD) 1/10#,4.19
DQCOL1200,COLBY CHEESE (DELI HORN) 4/6LB,4.41
DQCREAM50053,ORIGINAL SPREADABLE CHEESE << FINLANDIA >> 32 / 7 OZ,93.8
DMORCILLA12,MORCILLA ARGENTINA MR TANGO 12/16OZ,60.86
DQCHEDDAR1230,SHREDDED CHEDDAR CHEESE 4/5 LB,77.87
DQCRE6096,CREAM CHESSE (NATURES BEST) 10 / 3LBS,96.0
DQCREMAKRAFT30LB,KRAFT CREAM CHEESE 1/30 LB KOSHER,100.0
DPOR423,MORRISON COOKED PORK 1/4,4.94
DQCHEDDAR-SHR4/5#,SHREDDED CHEDDAR CHEESE (WHITE) 4/5#,80.93
DQCRE60961,CREAM CHEESE LOAF 10 / 3LBS {{{ RASKAS }}},89.54
DQCREMCHEESECAKE,CHEESECAKE BLEND KRAFT 30 LB,72.51
DQFET1256,FETA CHESE 1/9 LB,38.49
DQHAVS50063,HAVARTI SLICED CHEESE ** FINLANDIA ** RETAIL PACK 12 / 7 OZ (10 SLICE),55.6
DQMOZ002424,MOZZARELLA SHREDDED (SUMMER MAID) 4/5 lb,73.16
DQMOZ26192,MOZZARELLA LOAF (SOMMER MAID) 8/6 LB,3.57
DQGODA101024,GOUDA CHEESE IMPORTED 1/10 lb,7.51
DQMAN/804,MANCHEGO CHEESE,11.32
DQMOZ1279,MOZZARELLA SHREDDED WHOLE MILK *** JACOB *** 6/5LBS,85.0
DQMOZ-PROV,MOZZARELLA-PROVOLON W/M SHREDDED 6/5#,105.88
DQGOUDAS50108,GOUDA SLICED CHEESE ** FINLANDIA ** RETAIL PACK 12 / 7 OZ (10 SLICE),55.6
DQMONTEREY,MONTERY JACK / YELLOW CHEDDAR CHEESE BLEND (FANCY SHREDDED) (CORNER STONE) 4 / 5 LB,55.9
DQMOZ2400,WHOLE MILK MOZZARELLA LOAF (VITO ANDOLINE) 8/6LB,3.7
DQMUS25131,MUENSTER CHEESE (SOMMER MAID) 6/6LB,3.9
DQMUSSL50110,MUENSTER SLICED CHEESE ** FINLANDIA ** RETAIL PACK 12 / 7 OZ (10 SLICE),55.5
DQPRO25161,PROVOLONE CHEESE (SOMMER MAID)6/6 lb,3.87
DQSWAMMERLANDER,SLICED AMMERLANDER SWISS 6/1KG,94.47
DQSWI167-54WE,SWISS CHEESE FINLANDIA 2/12#,6.71
DQPEC761E,PECORINO ROMANO CHEESE 2/5 VIGO,140.0
DQROM1880,ROMANO GRATED 5 LB,43.0
DQSWI,SWISS CHEESE ( GERMAN ) 3/8#,5.78
DQSWISSANDCUT,SWISS CHEESE SANDWICH CUT (WHOLE) 6 / 8 LB,3.47
DQPEPPERJACK,PEPPER JACK CHEESE PRINT 1/10,3.48
DQSW-AMERICA1004,120 SL SWISS-AMERICAN CHEESE 4/5#,72.67
DQSWI1250,SWISS CHEESE DOMESTIC SUNNY MORNING GRADE A 3/15LB,5.3
DQSWISSBLOCK,SWISS CHEESE BLOCK ESSENTIAL 2 / 11 LB,3.7
DQSWSLD50107,SWISS SLICED CHEESE ** FINLANDIA ** RETAIL PACK 12 / 7 OZ (10 SLICE),55.2
DQWHILOAF3335,WHITE AMERICAN LOAF (GREAT LAKES) 6/5LBS,95.67
DQYELL1001,LOAF AMERICAN CHEESE YELLOW 6/5 LB (BONGARD),121.82
DSAL6022,MARGARITA GENOA SALAMI 3/6LB,5.5
DQSWSSV50059,SWISS SLICED CHEESE <<< FINLANDIA >>> VALUE PACK 6 / 1.5 LBS UPC :673803054480,68.9
DQWHILOFT1002,LOAF AMERICAN CHEESE WHITE 6/5 LB (BONGARD),115.23
DQYELL21183,AMERICAN CHEESE YELLOW (SUM MAID) 160 SL 4/5 lb,87.0
DSAL6027,MARGARITA HARD SALAMI 3/6 LB,6.13
DQWHI21184,AMERICAN CHEESE WHITE (SUM MAID) 160 SL 4/5 lb,70.86
DQWHITERETAIL,WHITE AMERICAN RETAIL 16 SLICES (DUTCH FARMS) 12 / 12OZ,40.0
DQYELLRETAIL,YELLOW AMERICAN RETAIL 16 SLICES (DUTCH FARMS) 12 / 12OZ,40.0
DSALAM,CITERIO HARD SALAMI 3/6lb,5.1
DSALAM1,CITERIO GENOA SALAMI 3/6lb,4.31
DSALCHICHON,SALCHICHON SLICES REDONDO IGLESIA 12/3OZ,55.0
DSOPRESATAH,SOPRESATA SALAQMI HOT 20/8.8OZ STABILE,105.0
DSUN00108-1,GEORGIA SPECIAL HOT CHICKEN & PORK SMOKED SAUSAGE 8 / 28 OZ (#108),46.44
DSALAMISL-D1047,SLICED GENOA SALAMI 8 / 2 LB 16 LB,67.56
DSALCHICHONFS,SALCHICHON FULL PIECE REDONDO IGLESIA 1/2UNIT,11.75
DSOPRESATAM,SOPRESATA SALAMI MILD 20/8.8OZ STABILE,105.0
DSUN00109-1,GEORGIA SPECIAL MILD CHICKEN & PORK SMOKED SAUSAGE 8 / 28 OZ (#109),46.44
DSALCAMP,SALAMI DOMINICANO DEL PUEBLO 12/1.8,104.45
DSALCHICHONTIGRE,SALCHICHON EL TIGRE,4.09
DSOUR6019,SOUR CREAM 4/5 LB,42.93
DSUN00110-1,SSF BREAKFAST LINK SAUSAGE 12 / 10 OZ (#110),54.0
DSUN00117-1,GEORGIA SPECIAL MILD CHICKEN & PORK SMOKED SAUSAGE 12 / 1.5 LBS (#117),56.0
DSUN00129-1,SSF PREMIUM MILD SMKD SAUSAGE 12 / 1LB (#129),60.0
DSUN00145-1,SSF BELL PEPPER & ONION SAUSAGE 12 / 1 LB (#145),60.0
DSUN00150-1,SSF PREMIUM MILD SMOKED SAUSAGE 1 / 10LBS (#150),49.95
DSUN00118-1,GEORGIA SPECIAL CHICKEN & PORK SMOKED SAUSAGE 6 / 3 LBS (#118),55.62
DSUN00130-1,SSF PREMIUM HOT SMKD SAUSAGE 12 / 1LB (#130),60.0
DSUN00146-1,SSF SMOKED BABYLOOP SAUSAGE 12 / 1 LB (#146),59.9
DSUN00152-1,SSF HOT SOUSE LOAF 2 / 7 LBS (#152),58.21
